cName,cType,每秒字节数,服务器地理位置,客户端地理位置,客户端端口,服务器,客户端,请求字节数,响应时间,请求接收端,客户端网段,请求发起端,开始时间
="61-164-117-143x5370xmapsystm.icbc.com.cn",="1(A)",="322.00 Bps",="中国",="中国",="54615",="2409:871E:8200:4::FFFB",="240E:1C:6200:2::7",="135.00 B",="884.15us",="2409:871E:8200:4::FFFB",="未知网段",="240E:1C:6200:2::7",="2022-10-22 18:19:08.028656105"
="117-161-179-77x7750xmapsystm.icbc.com.cn",="1(A)",="322.00 Bps",="中国",="中国",="13803",="2409:871E:8200:4::FFFB",="2409:8010:2000:1001::12",="135.00 B",="965.03us",="2409:871E:8200:4::FFFB",="未知网段",="2409:8010:2000:1001::12",="2022-10-22 18:18:58.733999078"
="120-240-94-82x5501xmapsystm.icbc.com.cn",="1(A)",="320.00 Bps",="中国",="中国",="36132",="2409:871E:8200:4::FFFB",="2409:8057:2000:8FFF:FFFF:FFFF:FFFF:FF6C",="134.00 B",="868.75us",="2409:871E:8200:4::FFFB",="未知网段",="2409:8057:2000:8FFF:FFFF:FFFF:FFFF:FF6C",="2022-10-22 18:18:56.738340138"
="221-178-32-194x8402xmapsystm.icbc.com.cn",="1(A)",="322.00 Bps",="中国",="中国",="33899",="2409:871E:8200:4::FFFB",="2409:8060:20EA:111::1",="135.00 B",="961.71us",="2409:871E:8200:4::FFFB",="未知网段",="2409:8060:20EA:111::1",="2022-10-22 18:18:54.078185839"
="2409:8c04:1005:111d:0:0:0:52x3528xmapsystm.icbc.com.cn",="1(A)",="350.00 Bps",="中国",="中国",="23849",="2409:871E:8200:4::FFFB",="2409:8008:2000:33::3",="149.00 B",="955.08us",="2409:871E:8200:4::FFFB",="未知网段",="2409:8008:2000:33::3",="2022-10-22 18:18:53.408588798"
="111-62-90-90x2875xmapsystm.icbc.com.cn",="1(A)",="318.00 Bps",="中国",="中国",="48352",="2409:871E:8200:4::FFFB",="2409:8008:2000:33::3",="133.00 B",="847.83us",="2409:871E:8200:4::FFFB",="未知网段",="2409:8008:2000:33::3",="2022-10-22 18:18:36.924513820"
="111-62-90-90x263xmapsystm.icbc.com.cn",="1(A)",="316.00 Bps",="中国",="中国",="43332",="2409:871E:8200:4::FFFB",="2409:8008:2000:33::3",="132.00 B",="850.42us",="2409:871E:8200:4::FFFB",="未知网段",="2409:8008:2000:33::3",="2022-10-22 18:18:24.506879616"
="110-188-68-204x416xmapsystm.icbc.com.cn",="1(A)",="320.00 Bps",="中国",="中国",="20439",="2409:871E:8200:4::FFFB",="240E:56:4606:825B::3",="134.00 B",="939.05us",="2409:871E:8200:4::FFFB",="未知网段",="240E:56:4606:825B::3",="2022-10-22 18:18:23.698062611"
="110-188-68-204x416xmapsystm.icbc.com.cn",="1(A)",="320.00 Bps",="中国",="中国",="58883",="2409:871E:8200:4::FFFB",="240E:56:4606:825B::3",="134.00 B",="811.96us",="2409:871E:8200:4::FFFB",="未知网段",="240E:56:4606:825B::3",="2022-10-22 18:18:23.766269156"
="2408:877a:2000:a:0:0:0:40x2754xmapsystm.icbc.com.cn",="1(A)",="356.00 Bps",="中国",="中国",="58350",="2409:871E:8200:4::FFFB",="2408:8001:F220:F00::11",="158.00 B",="913.86us",="2409:871E:8200:4::FFFB",="未知网段",="2408:8001:F220:F00::11",="2022-10-22 18:18:20.937433202"
="36-147-17-79x1461xmapsystm.icbc.com.cn",="1(A)",="318.00 Bps",="中国",="中国",="47293",="2409:871E:8200:4::FFFB",="2409:806C:2000:7200::1101",="133.00 B",="900.52us",="2409:871E:8200:4::FFFB",="未知网段",="2409:806C:2000:7200::1101",="2022-10-22 18:18:17.265355039"
="2409:8c10:c00:4fc:0:0:0:5cx3487xmapsystm.icbc.com.cn",="1(A)",="346.00 Bps",="中国",="中国",="56967",="2409:871E:8200:4::FFFB",="2409:8010:2000:1011::12",="147.00 B",="924.68us",="2409:871E:8200:4::FFFB",="未知网段",="2409:8010:2000:1011::12",="2022-10-22 18:17:59.591330011"
